"time", "BouncingBall.h", "BouncingBall.v", "BouncingBall.der(h)", "BouncingBall.der(v)", "BouncingBall.ground"
0.65, 0.6379614595, 2.2891635, 2.2891635, -9.81, 0
0.65, 0.6379614595, 2.2891635, 2.2891635, -9.81, 0
0.66, 0.6604116445, 2.1910635, 2.1910635, -9.81, 0
0.66, 0.6604116445, 2.1910635, 2.1910635, -9.81, 0
0.67, 0.6818808295, 2.0929635, 2.0929635, -9.81, 0
0.67, 0.6818808295, 2.0929635, 2.0929635, -9.81, 0
0.68, 0.7023690145, 1.9948635, 1.9948635, -9.81, 0
0.68, 0.7023690145, 1.9948635, 1.9948635, -9.81, 0
0.69, 0.7218761995, 1.8967635, 1.8967635, -9.81, 0
0.69, 0.7218761995, 1.8967635, 1.8967635, -9.81, 0
0.7, 0.7404023845, 1.7986635, 1.7986635, -9.81, 0
0.7, 0.7404023845, 1.7986635, 1.7986635, -9.81, 0
0.71, 0.7579475695, 1.7005635, 1.7005635, -9.81, 0
0.71, 0.7579475695, 1.7005635, 1.7005635, -9.81, 0
0.72, 0.7745117545, 1.6024635, 1.6024635, -9.81, 0
0.72, 0.7745117545, 1.6024635, 1.6024635, -9.81, 0
0.73, 0.7900949395, 1.5043635, 1.5043635, -9.81, 0
0.73, 0.7900949395, 1.5043635, 1.5043635, -9.81, 0
0.74, 0.8046971245, 1.4062635, 1.4062635, -9.81, 0
0.74, 0.8046971245, 1.4062635, 1.4062635, -9.81, 0
0.75, 0.8183183095, 1.3081635, 1.3081635, -9.81, 0
0.75, 0.8183183095, 1.3081635, 1.3081635, -9.81, 0
0.76, 0.8309584945, 1.2100635, 1.2100635, -9.81, 0
0.76, 0.8309584945, 1.2100635, 1.2100635, -9.81, 0
0.77, 0.8426176795, 1.1119635, 1.1119635, -9.81, 0
0.77, 0.8426176795, 1.1119635, 1.1119635, -9.81, 0
0.78, 0.8532958645, 1.0138635, 1.0138635, -9.81, 0
0.78, 0.8532958645, 1.0138635, 1.0138635, -9.81, 0
0.79, 0.8629930495, 0.9157635, 0.9157635, -9.81, 0
0.79, 0.8629930495, 0.9157635, 0.9157635, -9.81, 0
0.8, 0.8717092345, 0.8176635, 0.8176635, -9.81, 0
0.8, 0.8717092345, 0.8176635, 0.8176635, -9.81, 0
0.81, 0.8794444195, 0.7195635, 0.7195635, -9.81, 0
0.81, 0.8794444195, 0.7195635, 0.7195635, -9.81, 0
0.82, 0.8861986045, 0.6214635, 0.6214635, -9.81, 0
0.82, 0.8861986045, 0.6214635, 0.6214635, -9.81, 0
0.83, 0.8919717895, 0.5233635, 0.5233635, -9.81, 0
0.83, 0.8919717895, 0.5233635, 0.5233635, -9.81, 0
0.84, 0.8967639745, 0.4252635, 0.4252635, -9.81, 0
0.84, 0.8967639745, 0.4252635, 0.4252635, -9.81, 0
0.85, 0.9005751595, 0.3271635, 0.3271635, -9.81, 0
0.85, 0.9005751595, 0.3271635, 0.3271635, -9.81, 0
0.86, 0.9034053445, 0.2290635, 0.2290635, -9.81, 0
0.86, 0.9034053445, 0.2290635, 0.2290635, -9.81, 0
0.87, 0.9052545295, 0.1309635, 0.1309635, -9.81, 0
0.87, 0.9052545295, 0.1309635, 0.1309635, -9.81, 0
0.88, 0.9061227145, 0.0328635, 0.0328635, -9.81, 0
0.88, 0.9061227145, 0.0328635, 0.0328635, -9.81, 0
0.89, 0.9060098995, -0.0652365, -0.0652365, -9.81, 0
0.89, 0.9060098995, -0.0652365, -0.0652365, -9.81, 0
0.9, 0.9049160845, -0.1633365, -0.1633365, -9.81, 0
0.9, 0.9049160845, -0.1633365, -0.1633365, -9.81, 0
0.91, 0.9028412695, -0.2614365, -0.2614365, -9.81, 0
0.91, 0.9028412695, -0.2614365, -0.2614365, -9.81, 0
0.92, 0.8997854545, -0.3595365, -0.3595365, -9.81, 0
0.92, 0.8997854545, -0.3595365, -0.3595365, -9.81, 0
0.93, 0.8957486395, -0.4576365, -0.4576365, -9.81, 0
0.93, 0.8957486395, -0.4576365, -0.4576365, -9.81, 0
0.94, 0.8907308245, -0.5557365, -0.5557365, -9.81, 0
0.94, 0.8907308245, -0.5557365, -0.5557365, -9.81, 0
0.95, 0.8847320095, -0.6538365, -0.6538365, -9.81, 0
0.95, 0.8847320095, -0.6538365, -0.6538365, -9.81, 0
0.96, 0.8777521945, -0.7519365, -0.7519365, -9.81, 0
0.96, 0.8777521945, -0.7519365, -0.7519365, -9.81, 0
0.97, 0.8697913795, -0.8500365, -0.8500365, -9.81, 0
0.97, 0.8697913795, -0.8500365, -0.8500365, -9.81, 0
0.98, 0.8608495645, -0.9481365, -0.9481365, -9.81, 0
0.98, 0.8608495645, -0.9481365, -0.9481365, -9.81, 0
0.99, 0.8509267495, -1.0462365, -1.0462365, -9.81, 0
0.99, 0.8509267495, -1.0462365, -1.0462365, -9.81, 0
1, 0.8400229345, -1.1443365, -1.1443365, -9.81, 0.1
1, 0.8400229345, -1.1443365, -1.1443365, -9.81, 0.1
1.01, 0.826895683, -1.2522465, -1.2522465, -9.81, 0.1
1.01, 0.826895683, -1.2522465, -1.2522465, -9.81, 0.1
1.02, 0.813931768, -1.3503465, -1.3503465, -9.81, 0.1
1.02, 0.813931768, -1.3503465, -1.3503465, -9.81, 0.1
1.03, 0.799986853, -1.4484465, -1.4484465, -9.81, 0.1
1.03, 0.799986853, -1.4484465, -1.4484465, -9.81, 0.1
1.04, 0.785060938, -1.5465465, -1.5465465, -9.81, 0.1
1.04, 0.785060938, -1.5465465, -1.5465465, -9.81, 0.1
